iter	RMSE
0	152390.8732
1	144912.5386
2	138403.4618
3	132379.0056
4	127134.9827
5	122315.7493
6	118101.9846
7	114232.493
8	110889.1502
9	107822.2135
10	105010.5206
11	102396.0261
12	100046.1782
13	97729.74523
14	95735.7828
15	93810.23389
16	92081.29234
17	90430.45301
18	89048.82384
19	87670.29317
20	86313.23004
21	85157.66779
22	84106.04925
23	82960.2983
24	81730.97055
25	80739.78649
26	79782.09739
27	78709.5122
28	77917.60472
29	77103.42403
30	76280.58202
31	75550.4429
32	74803.59966
33	74202.46617
34	73431.47718
35	72578.00669
36	71925.19439
37	71338.76059
38	70823.51391
39	70256.21428
40	69657.84684
41	69226.89065
42	68646.07152
43	68131.81015
44	67555.23358
45	66847.12917
46	66426.55517
47	66033.79153
48	65571.71669
49	65163.20136
50	64736.23305
51	64414.4593
52	63995.11591
53	63692.80786
54	63309.17909
55	63005.79163
56	62575.39266
57	62077.02208
58	61791.07195
59	61560.00312
60	61291.35582
61	60959.00756
62	60459.32512
63	60113.68226
64	59767.40392
65	59538.17224
66	59201.62233
67	58924.10237
68	58656.13971
69	58366.68603
70	58131.20406
71	57873.84764
72	57665.30801
73	57450.2842
74	57214.98484
75	56862.91204
76	56595.33196
77	56398.65926
78	56235.65442
79	56084.63125
80	55940.76452
81	55737.61673
82	55619.25289
83	55442.03504
84	55212.81836
85	55050.44
86	54870.493
87	54574.56035
88	54370.66851
89	54244.81808
90	54040.63752
91	53924.71166
92	53710.82635
93	53543.35448
94	53430.62771
95	53284.9554
96	53081.2611
97	52920.51319
98	52801.44576
99	52688.5162
100	52573.48209
101	52417.77381
102	52299.9602
103	52174.52403
104	51949.6053
105	51817.96719
106	51707.95602
107	51615.28183
108	51501.91933
109	51422.11217
110	51312.55922
111	51171.95311
112	51048.80018
113	50928.55916
114	50855.19984
115	50742.43456
116	50656.33762
117	50575.26907
118	50495.07293
119	50359.95668
120	50231.91253
121	50146.40615
122	50045.8316
123	49919.99564
124	49834.9814
125	49727.76408
126	49645.71049
127	49524.69741
128	49385.39795
129	49271.43362
130	49164.56075
131	49078.52785
132	48985.63689
133	48891.64314
134	48813.74576
135	48725.50833
136	48634.83993
137	48565.72078
138	48482.3142
139	48378.94563
140	48295.59536
141	48206.77121
142	48103.20023
143	48026.41923
144	47943.85452
145	47861.73691
146	47786.7789
147	47680.01495
148	47624.81407
149	47537.77914
150	47455.64393
151	47383.78878
152	47322.75033
153	47257.07749
154	47172.57055
155	47116.35035
156	47042.80045
157	46980.43081
158	46926.48327
159	46857.23932
160	46792.01766
161	46753.25884
162	46683.64373
163	46604.54811
164	46539.65409
165	46471.12968
166	46411.99126
167	46345.27587
168	46283.56899
169	46212.31967
170	46153.76973
171	46097.06117
172	46032.88546
173	45966.95302
174	45914.33498
175	45850.946
176	45787.93648
177	45741.81089
178	45685.62708
179	45637.77262
180	45582.60937
181	45523.2957
182	45472.01325
183	45422.24569
184	45371.7114
185	45322.92981
186	45272.52697
187	45216.97634
188	45175.34033
189	45136.59318
190	45092.78621
191	45065.08154
192	45014.24816
193	44942.11797
194	44900.04746
195	44867.78697
196	44820.9756
197	44772.30396
198	44725.14096
199	44673.71447
200	44609.05291
201	44567.71124
202	44517.87887
203	44473.52638
204	44392.9185
205	44341.52996
206	44292.71163
207	44215.8801
208	44179.41409
209	44139.00952
210	44108.52434
211	44053.72339
212	44021.52379
213	43993.92875
214	43957.64947
215	43918.57203
216	43871.83288
217	43843.57332
218	43777.40851
219	43738.85635
220	43692.9921
221	43658.79304
222	43612.1836
223	43569.33369
224	43527.17701
225	43501.65525
226	43438.01377
227	43407.51229
228	43374.48059
229	43329.65368
230	43299.17739
231	43255.55941
232	43224.0734
233	43184.22094
234	43157.95548
235	43132.01767
236	43106.79682
237	43080.88919
238	43047.25118
239	43012.09645
240	42984.3175
241	42952.80338
242	42930.03752
243	42878.05451
