iter	Passed	Remaining
0	66	66169
1	72	36338
2	79	26361
3	86	21475
4	96	19169
5	102	16937
6	108	15384
7	114	14176
8	120	13215
9	125	12421
10	131	11818
11	137	11287
12	142	10810
13	148	10432
14	153	10106
15	162	9993
16	169	9807
17	176	9637
18	182	9437
19	189	9264
20	196	9147
21	202	9014
22	208	8876
23	215	8765
24	221	8653
25	228	8576
26	235	8474
27	241	8380
28	246	8269
29	253	8186
30	259	8114
31	265	8023
32	271	7956
33	277	7888
34	283	7808
35	289	7739
36	295	7683
37	301	7639
38	308	7609
39	314	7547
40	320	7503
41	327	7461
42	333	7432
43	340	7405
44	347	7374
45	355	7375
46	364	7397
47	376	7461
48	385	7475
49	394	7488
50	400	7461
51	408	7442
52	416	7434
53	423	7411
54	429	7371
55	434	7331
56	441	7303
57	447	7269
58	456	7284
59	462	7245
60	474	7298
61	480	7266
62	487	7244
63	493	7215
64	499	7189
65	508	7190
66	516	7190
67	523	7175
68	531	7170
69	542	7203
70	550	7201
71	557	7191
72	565	7175
73	573	7176
74	581	7168
75	588	7151
76	595	7134
77	601	7114
78	608	7091
79	615	7077
80	625	7100
81	634	7104
82	641	7083
83	648	7067
84	655	7055
85	662	7042
86	669	7023
87	676	7006
88	682	6991
89	691	6988
90	700	6994
91	706	6972
92	712	6951
93	721	6957
94	728	6938
95	735	6924
96	742	6910
97	747	6881
98	752	6852
99	758	6822
100	762	6788
101	768	6762
102	773	6732
103	778	6706
104	784	6684
105	789	6658
106	795	6636
107	800	6612
108	806	6590
109	811	6567
110	817	6549
111	823	6526
112	828	6502
113	833	6478
114	844	6496
115	851	6488
116	857	6469
117	863	6453
118	868	6429
119	874	6413
120	881	6403
121	886	6378
122	898	6405
123	904	6393
124	910	6375
125	916	6356
126	922	6338
127	928	6324
128	934	6312
129	941	6301
130	948	6289
131	953	6272
132	963	6277
133	970	6270
134	976	6256
135	982	6241
136	988	6225
137	996	6223
138	1002	6209
139	1008	6196
140	1014	6179
141	1020	6166
142	1026	6152
143	1032	6136
144	1038	6120
145	1045	6114
146	1052	6106
147	1063	6124
148	1072	6123
149	1078	6109
150	1084	6098
151	1091	6086
152	1098	6078
153	1103	6063
154	1108	6045
155	1114	6027
156	1119	6008
157	1125	5997
158	1131	5982
159	1136	5965
160	1141	5949
161	1147	5938
162	1154	5928
163	1160	5914
164	1165	5897
165	1171	5884
166	1176	5866
167	1181	5851
168	1186	5836
169	1191	5819
170	1197	5804
171	1203	5794
172	1211	5791
173	1216	5774
174	1221	5760
175	1226	5744
176	1232	5728
177	1237	5714
178	1242	5699
179	1248	5686
180	1254	5674
181	1259	5660
182	1264	5644
183	1269	5631
184	1274	5615
185	1279	5600
186	1285	5589
187	1291	5576
188	1296	5562
189	1302	5550
190	1306	5535
191	1311	5520
192	1317	5508
193	1322	5493
194	1327	5479
195	1332	5466
196	1337	5451
197	1342	5438
198	1349	5432
199	1354	5419
200	1360	5409
201	1367	5403
202	1374	5395
203	1380	5385
204	1387	5381
205	1395	5379
206	1402	5374
207	1409	5365
208	1414	5354
209	1420	5345
210	1427	5336
211	1432	5326
212	1438	5316
213	1444	5306
214	1450	5294
215	1455	5282
216	1460	5268
217	1464	5255
218	1469	5240
219	1474	5228
220	1480	5218
221	1486	5209
222	1491	5196
223	1497	5187
224	1503	5178
225	1508	5164
226	1513	5154
227	1518	5141
228	1523	5130
229	1529	5121
230	1535	5110
231	1540	5100
232	1545	5089
233	1551	5077
234	1556	5066
235	1561	5055
236	1566	5043
237	1571	5032
238	1577	5022
239	1582	5010
240	1587	5000
241	1593	4990
242	1598	4979
243	1604	4972
244	1610	4963
245	1616	4953
246	1621	4943
247	1627	4934
248	1633	4927
249	1643	4929
250	1648	4920
251	1654	4911
252	1660	4902
253	1665	4891
254	1670	4880
255	1676	4871
256	1683	4865
257	1690	4860
258	1695	4850
259	1700	4840
260	1706	4830
261	1711	4820
262	1716	4810
263	1721	4799
264	1726	4789
265	1732	4781
266	1739	4774
267	1744	4763
268	1749	4753
269	1754	4743
270	1759	4732
271	1764	4721
272	1769	4711
273	1774	4702
274	1779	4691
275	1784	4681
276	1789	4671
277	1795	4662
278	1802	4657
279	1807	4648
280	1812	4638
281	1817	4627
282	1822	4617
283	1826	4605
284	1831	4595
285	1837	4586
286	1842	4577
287	1847	4567
288	1852	4557
289	1857	4547
290	1862	4537
291	1866	4525
292	1872	4517
293	1876	4506
294	1881	4496
295	1887	4490
296	1893	4481
297	1899	4473
298	1906	4469
299	1911	4461
300	1916	4451
301	1921	4441
302	1927	4433
303	1931	4423
304	1937	4415
305	1943	4407
306	1948	4397
307	1954	4392
308	1961	4387
309	1968	4381
310	1973	4372
311	1979	4364
312	1985	4357
313	1991	4350
314	1997	4343
315	2002	4334
316	2007	4325
317	2012	4316
318	2018	4308
319	2023	4299
320	2029	4291
321	2036	4287
322	2044	4285
323	2054	4286
324	2065	4290
325	2080	4300
326	2088	4299
327	2098	4298
328	2104	4293
329	2112	4288
330	2126	4298
331	2137	4301
332	2145	4297
333	2153	4293
334	2160	4288
335	2170	4289
336	2184	4298
337	2195	4300
338	2205	4300
339	2218	4306
340	2229	4308
341	2237	4304
342	2245	4301
343	2253	4296
344	2261	4292
345	2271	4292
346	2280	4291
347	2288	4286
348	2294	4279
349	2299	4270
350	2304	4261
351	2310	4253
352	2316	4245
353	2322	4237
354	2327	4229
355	2335	4225
356	2344	4221
357	2352	4218
358	2362	4217
359	2374	4220
360	2381	4215
361	2386	4206
362	2392	4198
363	2397	4189
364	2404	4183
365	2411	4177
366	2418	4171
367	2425	4165
368	2431	4157
369	2437	4149
370	2444	4144
371	2452	4140
372	2461	4138
373	2472	4138
374	2481	4135
375	2489	4131
376	2499	4129
377	2507	4126
378	2517	4125
379	2525	4121
380	2531	4112
381	2536	4103
382	2541	4094
383	2546	4085
384	2551	4076
385	2557	4067
386	2562	4058
387	2567	4049
388	2572	4040
389	2577	4030
390	2582	4022
391	2588	4014
392	2592	4004
393	2598	3996
394	2604	3988
395	2611	3983
396	2617	3975
397	2623	3967
398	2628	3958
399	2633	3950
400	2639	3942
401	2644	3933
402	2649	3924
403	2655	3917
404	2660	3908
405	2666	3901
406	2673	3895
407	2679	3887
408	2684	3879
409	2689	3870
410	2695	3862
411	2701	3854
412	2706	3846
413	2711	3838
414	2717	3830
415	2721	3821
416	2726	3812
417	2732	3804
418	2737	3795
419	2742	3787
420	2747	3778
421	2754	3772
422	2759	3764
423	2764	3755
424	2770	3748
425	2776	3741
426	2782	3733
427	2786	3724
428	2792	3717
429	2797	3708
430	2802	3700
431	2807	3691
432	2812	3683
433	2818	3675
434	2823	3667
435	2828	3659
436	2833	3650
437	2838	3642
438	2844	3634
439	2849	3626
440	2854	3618
441	2859	3610
442	2865	3602
443	2870	3594
444	2875	3586
445	2880	3578
446	2885	3570
447	2890	3561
448	2896	3554
